x y z r g b
375.0 687.5 16.349998712539673 74 151 142
375.0 687.5 19.619998455047607 99 127 104
375.0 687.5 22.889998197555542 83 131 111
375.0 687.5 26.159997940063477 147 186 57
375.0 750.0 13.079998970031738 83 137 123
375.0 750.0 16.349998712539673 71 137 132
375.0 750.0 19.619998455047607 80 150 98
375.0 750.0 22.889998197555542 78 143 119
375.0 812.5 19.619998455047607 56 137 105
437.5 62.5 13.079998970031738 157 55 121
437.5 62.5 16.349998712539673 179 72 93
437.5 62.5 19.619998455047607 179 25 122
437.5 62.5 22.889998197555542 197 18 127
437.5 125.0 9.809999227523804 167 39 168
437.5 125.0 13.079998970031738 192 59 155
437.5 125.0 16.349998712539673 200 71 127
437.5 125.0 19.619998455047607 224 41 146
437.5 125.0 22.889998197555542 211 59 141
437.5 125.0 26.159997940063477 246 77 121
437.5 187.5 9.809999227523804 181 80 180
437.5 187.5 13.079998970031738 206 93 183
437.5 187.5 16.349998712539673 221 91 169
437.5 187.5 19.619998455047607 240 86 153
437.5 187.5 22.889998197555542 207 107 144
437.5 187.5 26.159997940063477 247 103 128
437.5 250.0 6.539999485015869 188 86 183
437.5 250.0 9.809999227523804 185 124 191
437.5 250.0 13.079998970031738 221 144 185
437.5 250.0 16.349998712539673 224 144 139
437.5 250.0 19.619998455047607 255 115 127
437.5 250.0 22.889998197555542 219 107 113
437.5 250.0 26.159997940063477 246 112 124
437.5 312.5 3.2699997425079346 182 112 180
437.5 312.5 6.539999485015869 183 124 167
437.5 312.5 9.809999227523804 172 146 165
437.5 312.5 13.079998970031738 213 184 153
437.5 312.5 16.349998712539673 200 177 95
437.5 312.5 19.619998455047607 242 161 86
437.5 312.5 22.889998197555542 203 135 60
437.5 312.5 26.159997940063477 222 128 91
437.5 375.0 3.2699997425079346 188 146 169
437.5 375.0 6.539999485015869 152 153 172
437.5 375.0 9.809999227523804 144 149 152
437.5 375.0 13.079998970031738 184 197 116
437.5 375.0 16.349998712539673 183 184 70
437.5 375.0 19.619998455047607 185 190 47
437.5 375.0 22.889998197555542 147 165 43
437.5 375.0 26.159997940063477 201 148 62
437.5 437.5 3.2699997425079346 169 172 161
437.5 437.5 6.539999485015869 131 184 152
437.5 437.5 9.809999227523804 155 157 126
437.5 437.5 13.079998970031738 149 200 94
437.5 437.5 16.349998712539673 147 187 57
437.5 437.5 19.619998455047607 111 163 52
437.5 437.5 22.889998197555542 81 131 95
437.5 437.5 26.159997940063477 184 132 59
437.5 500.0 3.2699997425079346 153 188 152
437.5 500.0 6.539999485015869 140 198 116
437.5 500.0 9.809999227523804 156 159 100
437.5 500.0 13.079998970031738 128 172 123
437.5 500.0 16.349998712539673 87 147 96
437.5 500.0 19.619998455047607 72 110 106
437.5 500.0 22.889998197555542 73 92 139
437.5 500.0 26.159997940063477 180 108 62
437.5 562.5 3.2699997425079346 139 190 131
437.5 562.5 6.539999485015869 139 176 119
437.5 562.5 9.809999227523804 134 163 121
437.5 562.5 13.079998970031738 128 185 123
437.5 562.5 16.349998712539673 78 114 128
437.5 562.5 19.619998455047607 78 116 114
437.5 562.5 22.889998197555542 77 85 132
437.5 562.5 26.159997940063477 165 103 50
437.5 625.0 3.2699997425079346 132 190 130
437.5 625.0 6.539999485015869 153 162 160
437.5 625.0 9.809999227523804 137 145 147
437.5 625.0 13.079998970031738 112 185 114
437.5 625.0 16.349998712539673 88 127 151
437.5 625.0 19.619998455047607 86 118 104
437.5 625.0 22.889998197555542 95 111 123
437.5 625.0 26.159997940063477 159 107 41
437.5 687.5 6.539999485015869 166 186 143
437.5 687.5 9.809999227523804 157 177 145
437.5 687.5 13.079998970031738 112 164 140
437.5 687.5 16.349998712539673 91 135 150
437.5 687.5 19.619998455047607 98 111 104
437.5 687.5 22.889998197555542 91 125 102
437.5 687.5 26.159997940063477 152 120 42
437.5 750.0 9.809999227523804 122 233 108
437.5 750.0 13.079998970031738 94 171 124
437.5 750.0 16.349998712539673 90 154 131
437.5 750.0 19.619998455047607 87 126 114
437.5 750.0 22.889998197555542 86 133 103
437.5 812.5 13.079998970031738 73 148 113
437.5 812.5 19.619998455047607 73 149 110
500.0 62.5 13.079998970031738 153 54 79
500.0 62.5 16.349998712539673 154 67 66
500.0 62.5 19.619998455047607 168 46 84
500.0 62.5 22.889998197555542 209 45 90
500.0 125.0 9.809999227523804 173 32 156
500.0 125.0 13.079998970031738 182 39 134
500.0 125.0 16.349998712539673 187 48 111
500.0 125.0 19.619998455047607 215 40 109
500.0 125.0 22.889998197555542 220 69 115
500.0 125.0 26.159997940063477 233 67 70
500.0 187.5 6.539999485015869 194 50 179
500.0 187.5 9.809999227523804 202 69 181
500.0 187.5 13.079998970031738 213 76 169
500.0 187.5 16.349998712539673 228 74 137
500.0 187.5 19.619998455047607 233 87 124
500.0 187.5 22.889998197555542 220 113 130
500.0 187.5 26.159997940063477 235 92 77
500.0 250.0 3.2699997425079346 208 79 179
500.0 250.0 6.539999485015869 217 94 183
500.0 250.0 9.809999227523804 208 112 189
500.0 250.0 13.079998970031738 236 134 151
500.0 250.0 16.349998712539673 235 133 93
500.0 250.0 19.619998455047607 235 116 97
500.0 250.0 22.889998197555542 208 127 98
500.0 250.0 26.159997940063477 231 94 58
500.0 312.5 3.2699997425079346 220 123 168
500.0 312.5 6.539999485015869 227 127 167
500.0 312.5 9.809999227523804 197 134 161
500.0 312.5 13.079998970031738 222 175 97
500.0 312.5 16.349998712539673 194 155 59
500.0 312.5 19.619998455047607 214 138 54
500.0 312.5 22.889998197555542 170 126 57
500.0 312.5 26.159997940063477 213 100 35
500.0 375.0 3.2699997425079346 209 149 151
500.0 375.0 6.539999485015869 196 174 155
500.0 375.0 9.809999227523804 169 155 131
500.0 375.0 13.079998970031738 191 176 83
500.0 375.0 16.349998712539673 152 150 73
500.0 375.0 19.619998455047607 151 155 50
500.0 375.0 22.889998197555542 116 131 84
500.0 375.0 26.159997940063477 187 106 27
500.0 437.5 3.2699997425079346 199 154 157
500.0 437.5 6.539999485015869 166 212 135
500.0 437.5 9.809999227523804 155 168 97
500.0 437.5 13.079998970031738 146 175 99
500.0 437.5 16.349998712539673 96 150 128
500.0 437.5 19.619998455047607 78 137 118
500.0 437.5 22.889998197555542 80 131 150
500.0 437.5 26.159997940063477 156 93 63
500.0 500.0 3.2699997425079346 186 177 139
500.0 500.0 6.539999485015869 147 204 124
500.0 500.0 9.809999227523804 150 150 107
500.0 500.0 13.079998970031738 129 161 124
500.0 500.0 16.349998712539673 57 132 152
500.0 500.0 19.619998455047607 59 126 132
